Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
29265621,11/11/2014 11:17:00 AM,,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,,,,,CLINTON STREET,DELANCEY STREET,INTERSECTION,NEW YORK,,DSNY Garage,Open,,The Department of Sanitation is in the process of investigating this complaint.,,03 MANHATTAN,MANHATTAN,988196,200763,Unspecified,MANHATTAN,,,,,,,,40.71772390969891,-73.98576515589916,"(40.71772390969891, -73.98576515589916)"
36432189,06/13/2017 12:06:00 PM,06/15/2017 12:00:00 PM,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,,,,,MADISON STREET,JEFFERSON STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,Â A Litter Basket was placed at the location.,06/15/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,987443,198958,Unspecified,MANHATTAN,,,,,,,,40.712769920203165,-73.98848239254335,"(40.712769920203165, -73.98848239254335)"
29325122,11/19/2014 05:16:00 PM,11/20/2014 12:00:00 PM,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,,,,,1 AVENUE,EAST 14 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,11/20/2014 12:00:00 PM,03 MANHATTAN,MANHATTAN,989085,205728,Unspecified,MANHATTAN,,,,,,,,40.731351188882584,-73.98255460051172,"(40.731351188882584, -73.98255460051172)"
29327757,11/19/2014 08:11:00 PM,11/20/2014 12:00:00 PM,DSNY,Manhattan 06,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,,,,,EAST 14 STREET,1 AVENUE,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",11/20/2014 12:00:00 PM,03 MANHATTAN,MANHATTAN,989085,205728,Unspecified,MANHATTAN,,,,,,,,40.731351188882584,-73.98255460051172,"(40.731351188882584, -73.98255460051172)"
29329139,11/19/2014 08:10:00 PM,11/20/2014 12:00:00 PM,DSNY,Manhattan 06,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,10009,,,,,EAST 14 STREET,1 AVENUE,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",11/20/2014 12:00:00 PM,03 MANHATTAN,MANHATTAN,989085,205728,Unspecified,MANHATTAN,,,,,,,,40.731351188882584,-73.98255460051172,"(40.731351188882584, -73.98255460051172)"
29470934,12/09/2014 10:52:00 PM,12/11/2014 12:00:00 PM,DSNY,Manhattan 02,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10013,,,,,CANAL STREET,MULBERRY STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",12/11/2014 12:00:00 PM,03 MANHATTAN,MANHATTAN,984641,200535,Unspecified,MANHATTAN,,,,,,,,40.71709897578499,-73.99858951550117,"(40.71709897578499, -73.99858951550117)"
36808141,07/27/2017 02:46:00 PM,07/28/2017 12:00:00 PM,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10003,170 SECOND AVENUE,SECOND AVENUE,EAST 10 STREET,EAST 11 STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,Â A Litter Basket was placed at the location.,07/28/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,987996,205314,Unspecified,MANHATTAN,,,,,,,,40.73021538852995,-73.98648410497573,"(40.73021538852995, -73.98648410497573)"
29597995,12/28/2014 08:36:00 PM,12/31/2014 12:00:00 PM,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,,,,,GOUVERNEUR STREET,WATER STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,12/31/2014 12:00:00 PM,03 MANHATTAN,MANHATTAN,988793,198432,Unspecified,MANHATTAN,,,,,,,,40.71132558520478,-73.98361310459063,"(40.71132558520478, -73.98361310459063)"
29630332,01/04/2015 03:35:00 PM,,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10038,,,,,HENRY STREET,OLIVER STREET,INTERSECTION,NEW YORK,,DSNY Garage,Open,,The Department of Sanitation is in the process of investigating this complaint.,,03 MANHATTAN,MANHATTAN,984809,198942,Unspecified,MANHATTAN,,,,,,,,40.71272656251877,-73.99798360840518,"(40.71272656251877, -73.99798360840518)"
36973885,08/17/2017 08:55:00 PM,08/18/2017 12:00:00 PM,DSNY,Department of Sanitation,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,,,AVENUE B,EAST 10 STREET,AVENUE B,EAST 10 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The location does not meet the criteria for Litter Basket placement.,08/18/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,989819,204094,Unspecified,MANHATTAN,,,,,,,,40.72686582646435,-73.97990757169026,"(40.72686582646435, -73.97990757169026)"
29727140,01/15/2015 11:15:00 AM,01/16/2015 12:00:00 PM,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,,,,,EAST 14 STREET,1 AVENUE,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,01/16/2015 12:00:00 PM,03 MANHATTAN,MANHATTAN,989085,205728,Unspecified,MANHATTAN,,,,,,,,40.731351188882584,-73.98255460051172,"(40.731351188882584, -73.98255460051172)"
37185096,09/13/2017 07:43:00 PM,09/14/2017 12:00:00 PM,DSNY,Manhattan 03,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,10002,,,,,DELANCY STREET,CLINTON STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",09/14/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,988196,200763,Unspecified,MANHATTAN,,,,,,,,40.71772390969891,-73.98576515589916,"(40.71772390969891, -73.98576515589916)"
29835284,01/31/2015 03:29:00 PM,01/31/2015 03:29:00 PM,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,,,,,EAST 12 STREET,1 AVENUE,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,01/31/2015 03:29:00 PM,03 MANHATTAN,MANHATTAN,988813,205238,Unspecified,MANHATTAN,,,,,,,,40.73000640339249,-73.98353634925303,"(40.73000640339249, -73.98353634925303)"
29864846,02/04/2015 10:40:00 PM,,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,,,,,ESSEX STREET,DELANCEY STREET,INTERSECTION,NEW YORK,,DSNY Garage,Open,,The Department of Sanitation is in the process of investigating this complaint.,,03 MANHATTAN,MANHATTAN,987521,201066,Unspecified,MANHATTAN,,,,,,,,40.71855584723336,-73.98820001110087,"(40.71855584723336, -73.98820001110087)"
37405159,10/10/2017 03:34:00 PM,10/11/2017 12:00:00 PM,DSNY,Manhattan 03,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,10002,,,,,HESTER STREET,LUDLOW STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,10/11/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,986867,200060,Unspecified,MANHATTAN,,,,,,,,40.7157948361671,-73.99055967847579,"(40.7157948361671, -73.99055967847579)"
30068122,03/01/2015 08:36:00 PM,,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,120 EAST BROADWAY,EAST BROADWAY,PIKE STREET,RUTGERS STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Open,,The Department of Sanitation is in the process of investigating this complaint.,,03 MANHATTAN,MANHATTAN,986432,199368,Unspecified,MANHATTAN,,,,,,,,40.71389557953618,-73.99212908116016,"(40.71389557953618, -73.99212908116016)"
30070447,03/01/2015 09:08:00 AM,03/01/2015 12:00:00 PM,DSNY,Manhattan 03,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,10009,,,,,1 AVENUE,EAST 2 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,03/01/2015 12:00:00 PM,03 MANHATTAN,MANHATTAN,987584,203018,Unspecified,MANHATTAN,,,,,,,,40.72391359257348,-73.98797177444611,"(40.72391359257348, -73.98797177444611)"
30071661,02/28/2015 08:04:00 AM,,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,120 EAST BROADWAY,EAST BROADWAY,PIKE STREET,RUTGERS STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Open,,The Department of Sanitation is in the process of investigating this complaint.,,03 MANHATTAN,MANHATTAN,986432,199368,Unspecified,MANHATTAN,,,,,,,,40.71389557953618,-73.99212908116016,"(40.71389557953618, -73.99212908116016)"
30081107,03/03/2015 07:43:00 AM,,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,,,,,EAST BROADWAY,PIKE STREET,INTERSECTION,NEW YORK,,DSNY Garage,Open,,The Department of Sanitation is in the process of investigating this complaint.,,03 MANHATTAN,MANHATTAN,986267,199349,Unspecified,MANHATTAN,,,,,,,,40.71384346822521,-73.99272427548813,"(40.71384346822521, -73.99272427548813)"
30245119,03/23/2015 12:51:00 PM,03/23/2015 12:51:00 PM,DSNY,Manhattan 03,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,10009,430 EAST   14 STREET,EAST   14 STREET,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,03/23/2015 12:51:00 PM,03 MANHATTAN,MANHATTAN,989324,205595,Unspecified,MANHATTAN,,,,,,,,40.73098600260875,-73.9816923532658,"(40.73098600260875, -73.9816923532658)"
37724021,11/17/2017 11:14:00 AM,11/17/2017 12:00:00 PM,DSNY,Manhattan 03,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,10002,25 BOWERY,BOWERY,CATHERINE STREET,PELL STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,11/17/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,985030,199579,Unspecified,MANHATTAN,,,,,,,,40.71447495884597,-73.99718635652906,"(40.71447495884597, -73.99718635652906)"
30264147,03/26/2015 02:25:00 PM,03/27/2015 12:00:00 PM,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,,,,,AVENUE A,EAST 12 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,03/27/2015 12:00:00 PM,03 MANHATTAN,MANHATTAN,989426,204903,Unspecified,MANHATTAN,,,,,,,,40.72908657283171,-73.98132485642151,"(40.72908657283171, -73.98132485642151)"
30268933,03/26/2015 01:52:00 PM,03/27/2015 12:00:00 PM,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,,,,,1 AVENUE,EAST 12 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/27/2015 12:00:00 PM,03 MANHATTAN,MANHATTAN,988813,205238,Unspecified,MANHATTAN,,,,,,,,40.73000640339249,-73.98353634925303,"(40.73000640339249, -73.98353634925303)"
30274848,03/27/2015 01:15:00 PM,,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,,,,,MADISON STREET,JEFFERSON STREET,INTERSECTION,NEW YORK,,DSNY Garage,Open,,The Department of Sanitation is in the process of investigating this complaint.,,03 MANHATTAN,MANHATTAN,987443,198958,Unspecified,MANHATTAN,,,,,,,,40.712769920203165,-73.98848239254335,"(40.712769920203165, -73.98848239254335)"
37757259,11/20/2017 06:10:00 PM,11/21/2017 12:00:00 PM,DSNY,Manhattan 03,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,10013,20 BOWERY,BOWERY,PELL STREET,,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,11/21/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,985065,199655,Unspecified,MANHATTAN,,,,,,,,40.714683557535004,-73.99706009409556,"(40.714683557535004, -73.99706009409556)"
30317198,04/02/2015 09:53:00 PM,04/03/2015 12:00:00 PM,DSNY,Manhattan 06,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,10003,,,,,3 AVENUE,EAST 14 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,04/03/2015 12:00:00 PM,03 MANHATTAN,MANHATTAN,987803,206435,Unspecified,MANHATTAN,,,,,,,,40.73329233817604,-73.98717987386496,"(40.73329233817604, -73.98717987386496)"
30326234,04/03/2015 02:43:00 PM,04/06/2015 12:00:00 PM,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,,,,,STANTON STREET,ELDRIDGE STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",04/06/2015 12:00:00 PM,03 MANHATTAN,MANHATTAN,987011,202292,Unspecified,MANHATTAN,,,,,,,,40.72192109565006,-73.99003931078362,"(40.72192109565006, -73.99003931078362)"
30369890,03/24/2015 11:54:00 AM,04/09/2015 12:00:00 PM,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,371 MADISON STREET,MADISON STREET,GOUVERNEUR STREET,JACKSON STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,04/09/2015 12:00:00 PM,03 MANHATTAN,MANHATTAN,989205,199193,Unspecified,MANHATTAN,,,,,,,,40.71341412783369,-73.98212643383839,"(40.71341412783369, -73.98212643383839)"
30387050,04/12/2015 10:34:00 PM,,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,,,,,EAST BROADWAY,CLINTON STREET,INTERSECTION,NEW YORK,,DSNY Garage,Open,,The Department of Sanitation is in the process of investigating this complaint.,,03 MANHATTAN,MANHATTAN,987808,199520,Unspecified,MANHATTAN,,,,,,,,40.714312336886195,-73.98716548836047,"(40.714312336886195, -73.98716548836047)"
30431896,04/18/2015 06:57:00 PM,04/18/2015 06:57:00 PM,DSNY,Manhattan 03,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,10003,,,,,EAST 10 STREET,3 AVENUE,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,04/18/2015 06:57:00 PM,03 MANHATTAN,MANHATTAN,987284,205499,Unspecified,MANHATTAN,,,,,,,,40.73072344111918,-73.9890529796862,"(40.73072344111918, -73.9890529796862)"
30434947,04/19/2015 04:04:00 PM,04/19/2015 04:04:00 PM,DSNY,Manhattan 03,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,10003,,,,,3 AVENUE,EAST 10 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,04/19/2015 04:04:00 PM,03 MANHATTAN,MANHATTAN,987284,205499,Unspecified,MANHATTAN,,,,,,,,40.73072344111918,-73.9890529796862,"(40.73072344111918, -73.9890529796862)"
30442809,04/20/2015 08:00:00 AM,04/20/2015 12:00:00 PM,DSNY,Manhattan 03,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,10003,,,,,3 AVENUE,EAST 10 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,04/20/2015 12:00:00 PM,03 MANHATTAN,MANHATTAN,987284,205499,Unspecified,MANHATTAN,,,,,,,,40.73072344111918,-73.9890529796862,"(40.73072344111918, -73.9890529796862)"
30443867,04/18/2015 08:03:00 AM,04/18/2015 12:00:00 PM,DSNY,Manhattan 03,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,10003,111 4 AVENUE,4 AVENUE,EAST 11 STREET,EAST 12 STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,04/18/2015 12:00:00 PM,03 MANHATTAN,MANHATTAN,987009,206198,Unspecified,MANHATTAN,,,,,,,,40.73264211473278,-73.99004492462478,"(40.73264211473278, -73.99004492462478)"
30490430,04/27/2015 01:49:00 PM,,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,AVENUE C,AVENUE C,EAST   11 STREET,EAST   12 STREET,,,BLOCKFACE,NEW YORK,,DSNY Garage,Open,,The Department of Sanitation is in the process of investigating this complaint.,,03 MANHATTAN,MANHATTAN,990662,204061,Unspecified,MANHATTAN,,,,,,,,40.72677467860116,-73.97686613853853,"(40.72677467860116, -73.97686613853853)"
30536432,05/03/2015 07:25:00 AM,05/07/2015 12:00:00 PM,DSNY,Manhattan 06,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,10003,,,,,EAST 14 STREET,3 AVENUE,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,05/07/2015 12:00:00 PM,03 MANHATTAN,MANHATTAN,987803,206435,Unspecified,MANHATTAN,,,,,,,,40.73329233817604,-73.98717987386496,"(40.73329233817604, -73.98717987386496)"
30538950,05/03/2015 08:24:00 AM,,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,,,,,DELANCY STREET,COLUMBIA STREET,INTERSECTION,NEW YORK,,DSNY Garage,Open,,The Department of Sanitation is in the process of investigating this complaint.,,03 MANHATTAN,MANHATTAN,989588,200202,Unspecified,MANHATTAN,,,,,,,,40.71618336885352,-73.980744084693,"(40.71618336885352, -73.980744084693)"
